uid,period,contr_nrmd,contr_oth_nrmd
49,3,0.0,0.25
49,4,0.5,0.5
49,5,0.5,0.625
49,6,1.0,0.375
49,7,0.0,0.125
49,8,0.0,0.5
49,9,0.5,0.5
49,10,0.5,0.375
50,1,0.5,0.375
50,2,1.0,0.125
50,3,0.5,0.125
50,4,0.5,0.5
50,5,0.5,0.625
50,6,0.5,0.5
50,7,0.5,0.0
50,8,0.5,0.375
50,9,0.5,0.5
50,10,1.0,0.25
51,1,0.5,0.5
51,2,0.5,0.5
51,3,0.5,0.5
51,4,0.0,0.5
51,5,1.0,0.5
51,6,0.5,0.5
51,7,0.0,0.5
51,8,0.5,0.125
51,9,0.0,0.125
51,10,0.5,0.625
52,1,1.0,0.5
52,2,1.0,0.5
52,3,1.0,0.25
52,4,1.0,0.5
52,5,0.5,0.0
52,6,1.0,0.375
52,7,1.0,0.625
52,8,1.0,0.25
52,9,1.0,0.375
52,10,1.0,0.125
53,1,1.0,0.5
53,2,1.0,0.5
53,3,0.5,0.375
53,4,0.0,0.75
53,5,0.0,0.125
53,6,1.0,0.375
53,7,1.0,0.625
53,8,0.0,0.5
53,9,0.5,0.5
53,10,0.0,0.375
54,1,0.5,0.375
54,2,1.0,0.125
54,3,0.0,0.125
54,4,0.0,0.5
54,5,0.0,0.25
54,6,0.0,0.125
54,7,0.0,0.375
54,8,0.0,0.125
54,9,0.0,0.125
54,10,0.5,0.0
55,1,1.0,0.25
55,2,0.5,0.25
55,3,0.0,0.125
55,4,1.0,0.25
55,5,0.5,0.125
55,6,0.0,0.125
55,7,0.0,0.375
55,8,0.5,0.0
55,9,0.0,0.125
55,10,0.0,0.125
56,1,1.0,0.125
56,2,0.5,0.5
56,3,0.0,0.375
56,4,0.5,0.125
56,5,0.5,0.25
56,6,0.5,0.125
56,7,0.5,0.25
56,8,0.5,0.0
56,9,0.5,0.125
56,10,0.5,0.0
57,1,0.0,0.375
57,2,0.0,0.25
57,3,0.0,0.125
57,4,0.0,0.125
57,5,0.0,0.375
57,6,0.0,0.0
57,7,0.0,0.5
57,8,0.0,0.125
57,9,0.0,0.0
57,10,0.0,0.125
58,1,0.0,0.375
58,2,1.0,0.0
58,3,0.0,0.125
58,4,0.0,0.125
58,5,0.5,0.25
58,6,0.0,0.0
58,7,1.0,0.25
58,8,0.0,0.125
58,9,0.0,0.0
58,10,0.0,0.125
59,1,0.0,0.25
59,2,0.5,0.25
59,3,1.0,0.375
59,4,0.5,0.375
59,5,1.0,0.5
59,6,0.5,0.25
59,7,0.0,0.0
59,8,0.5,0.125
59,9,1.0,0.125
59,10,0.0,0.25
60,1,0.0,0.125
60,2,0.0,0.5
60,3,0.0,0.125
60,4,0.0,0.0
60,5,0.0,0.375
60,6,0.0,0.25
60,7,0.0,0.125
60,8,0.0,0.0
60,9,0.0,0.125
60,10,0.0,0.0
61,1,0.0,0.125
61,2,0.5,0.375
61,3,0.0,0.125
61,4,0.0,0.0
61,5,1.0,0.125
61,6,0.0,0.25
61,7,0.0,0.125
61,8,0.0,0.0
61,9,0.5,0.0
61,10,0.0,0.0
62,1,0.5,0.125
62,2,1.0,0.25
62,3,0.5,0.125
62,4,0.0,0.125
62,5,0.0,0.125
62,6,0.0,0.0
62,7,0.5,0.125
62,8,0.5,0.25
62,9,0.5,0.125
62,10,0.5,0.25
63,1,0.5,0.25
63,2,0.0,0.25
63,3,0.5,0.25
63,4,0.5,0.25
63,5,0.0,0.25
63,6,0.5,0.25
63,7,0.5,0.125
63,8,0.0,0.25
63,9,0.5,0.25
63,10,0.5,0.125
64,1,0.5,0.375
64,2,1.0,0.25
64,3,1.0,0.25
64,4,0.0,0.375
64,5,1.0,0.125
64,6,0.5,0.0
64,7,1.0,0.125
64,8,0.0,0.25
64,9,1.0,0.125
64,10,0.5,0.125
65,1,0.5,0.375
65,2,0.0,0.5
65,3,0.5,0.375
65,4,1.0,0.125
65,5,0.0,0.375
65,6,0.0,0.125
65,7,0.0,0.375
65,8,0.5,0.125
65,9,0.0,0.375
65,10,0.0,0.25
66,1,0.0,0.25
66,2,0.5,0.25
66,3,1.0,0.5
66,4,0.0,0.375
66,5,0.0,0.25
66,6,0.5,0.25
66,7,0.0,0.125
66,8,1.0,0.25
66,9,0.0,0.25
66,10,0.0,0.25
67,1,0.5,0.125
67,2,0.0,0.375
67,3,0.5,0.625
67,4,0.5,0.25
67,5,1.0,0.0
67,6,0.5,0.25
67,7,0.0,0.125
67,8,0.0,0.5
67,9,0.5,0.125
67,10,0.5,0.125
68,1,0.5,0.125
68,2,0.5,0.25
68,3,0.5,0.625
68,4,1.0,0.125
68,5,0.0,0.25
68,6,0.0,0.375
68,7,0.5,0.0
68,8,0.0,0.5
68,9,0.5,0.125
68,10,0.5,0.125
69,1,0.0,0.25
69,2,0.5,0.25
69,3,1.0,0.5
69,4,0.0,0.375
69,5,0.0,0.25
69,6,0.5,0.25
69,7,0.0,0.125
69,8,1.0,0.25
69,9,0.0,0.25
69,10,0.0,0.25
70,1,1.0,0.375
70,2,1.0,0.5
70,3,1.0,0.625
70,4,1.0,0.5
70,5,1.0,0.5
70,6,1.0,0.25
70,7,1.0,0.25
70,8,1.0,0.125
70,9,1.0,0.25
70,10,1.0,0.25
71,1,1.0,0.375
71,2,1.0,0.5
71,3,1.0,0.625
71,4,1.0,0.5
71,5,1.0,0.5
71,6,1.0,0.25
71,7,0.0,0.5
71,8,0.5,0.25
71,9,1.0,0.25
71,10,1.0,0.25
72,1,0.0,0.625
72,2,0.0,0.75
72,3,0.5,0.75
72,4,0.0,0.75
72,5,0.0,0.75
72,6,0.0,0.5
72,7,0.5,0.375
72,8,0.0,0.375
72,9,0.0,0.5
72,10,0.0,0.5
73,1,0.5,0.5
73,2,1.0,0.5
73,3,1.0,0.625
73,4,1.0,0.5
73,5,1.0,0.5
73,6,0.0,0.5
73,7,0.5,0.375
73,8,0.0,0.375
73,9,0.0,0.5
73,10,0.0,0.5
74,1,0.5,0.5
74,2,0.5,0.75
74,3,0.0,0.5
74,4,1.0,0.25
74,5,0.0,0.25
74,6,0.5,0.5
74,7,0.5,0.5
74,8,0.5,0.5
74,9,0.5,0.125
74,10,1.0,0.25
75,1,1.0,0.375
75,2,1.0,0.625
75,3,1.0,0.25
75,4,1.0,0.25
75,5,0.5,0.125
75,6,1.0,0.375
75,7,1.0,0.375
75,8,1.0,0.375
75,9,0.5,0.125
75,10,0.0,0.5
76,1,0.5,0.5
76,2,1.0,0.625
76,3,0.0,0.5
76,4,0.0,0.5
76,5,0.0,0.25
76,6,1.0,0.375
76,7,0.5,0.5
76,8,0.0,0.625
76,9,0.0,0.25
76,10,0.5,0.375
77,1,0.5,0.5
77,2,1.0,0.625
77,3,1.0,0.25
77,4,0.0,0.5
77,5,0.5,0.125
77,6,0.0,0.625
77,7,0.5,0.5
77,8,1.0,0.375
77,9,0.0,0.25
77,10,0.5,0.375
78,1,0.5,0.375
78,2,0.5,0.375
78,3,0.0,0.5
78,4,0.5,0.5
78,5,0.5,0.375
78,6,1.0,0.125
78,7,0.0,0.25
78,8,0.5,0.25
78,9,0.0,0.125
78,10,0.0,0.0
79,1,0.5,0.375
79,2,0.5,0.375
79,3,1.0,0.25
79,4,0.5,0.5
79,5,0.5,0.375
79,6,0.0,0.375
79,7,0.5,0.125
79,8,0.0,0.375
79,9,0.0,0.125
79,10,0.0,0.0
80,1,0.5,0.375
80,2,0.5,0.375
80,3,0.5,0.375
80,4,0.5,0.5
80,5,0.0,0.5
80,6,0.5,0.25
80,7,0.5,0.125
80,8,0.5,0.25
80,9,0.0,0.125
80,10,0.0,0.0
81,1,0.5,0.375
81,2,0.5,0.375
81,3,0.5,0.375
81,4,1.0,0.375
81,5,1.0,0.25
81,6,0.0,0.375
81,7,0.0,0.25
81,8,0.5,0.25
81,9,0.5,0.0
81,10,0.0,0.0
82,1,0.5,0.25
82,2,0.5,0.25
82,3,0.0,0.125
82,4,0.5,0.25
82,5,0.0,0.25
82,6,0.5,0.25
82,7,0.5,0.125
82,8,0.0,0.5
82,9,0.5,0.125
82,10,0.0,0.125
83,1,0.0,0.375
83,2,0.5,0.25
83,3,0.0,0.125
83,4,0.0,0.375
83,5,0.5,0.125
83,6,0.5,0.25
83,7,0.0,0.25
83,8,1.0,0.25
83,9,0.0,0.25
83,10,0.0,0.125
84,1,0.0,0.375
84,2,0.5,0.25
84,3,0.0,0.125
84,4,0.5,0.25
84,5,0.5,0.125
84,6,0.0,0.375
84,7,0.0,0.25
84,8,1.0,0.25
84,9,0.0,0.25
84,10,0.0,0.125
85,1,1.0,0.125
85,2,0.0,0.375
85,3,0.5,0.0
85,4,0.5,0.25
85,5,0.0,0.25
85,6,0.5,0.25
85,7,0.5,0.125
85,8,0.0,0.5
85,9,0.5,0.125
85,10,0.5,0.0
86,1,0.5,0.375
86,2,0.0,0.625
86,3,0.5,0.375
86,4,0.0,0.625
86,5,1.0,0.375
86,6,0.0,0.5
86,7,0.0,0.5
86,8,0.0,0.375
86,9,0.5,0.0
86,10,0.0,0.125
87,1,1.0,0.25
87,2,1.0,0.375
87,3,1.0,0.25
87,4,1.0,0.375
87,5,1.0,0.375
87,6,1.0,0.25
87,7,1.0,0.25
87,8,0.0,0.375
87,9,0.0,0.125
87,10,0.0,0.125
88,1,0.0,0.5
88,2,0.5,0.5
88,3,0.0,0.5
88,4,1.0,0.375
88,5,0.0,0.625
88,6,0.5,0.375
88,7,0.0,0.5
88,8,1.0,0.125
88,9,0.0,0.125
88,10,0.0,0.125
89,1,0.5,0.375
89,2,1.0,0.375
89,3,0.5,0.375
89,4,0.5,0.5
89,5,0.5,0.5
89,6,0.5,0.375
89,7,1.0,0.25
89,8,0.5,0.25
89,9,0.0,0.125
89,10,0.5,0.0
90,1,0.0,0.25
90,2,0.5,0.25
90,3,0.5,0.25
90,4,0.5,0.25
90,5,0.5,0.125
90,6,0.0,0.375
90,7,0.0,0.0
90,8,0.0,0.25
90,9,0.0,0.125
90,10,0.5,0.0
91,1,0.0,0.25
91,2,0.0,0.375
91,3,0.0,0.375
91,4,0.0,0.375
91,5,0.0,0.25
91,6,0.0,0.375
91,7,0.0,0.0
91,8,0.0,0.25
91,9,0.0,0.125
91,10,0.0,0.125
92,1,0.5,0.125
92,2,0.0,0.375
92,3,0.5,0.25
92,4,1.0,0.125
92,5,0.0,0.25
92,6,0.5,0.25
92,7,0.0,0.0
92,8,0.5,0.125
92,9,0.0,0.125
92,10,0.0,0.125
93,1,0.5,0.125
93,2,1.0,0.125
93,3,0.5,0.25
93,4,0.0,0.375
93,5,0.5,0.125
93,6,1.0,0.125
93,7,0.0,0.0
93,8,0.5,0.125
93,9,0.5,0.0
93,10,0.0,0.125
94,1,0.5,0.25
94,2,0.5,0.25
94,3,0.5,0.5
94,4,1.0,0.0
94,5,0.5,0.25
94,6,0.0,0.5
94,7,0.0,0.25
94,8,0.0,0.0
94,9,0.5,0.375
94,10,0.5,0.625
95,1,0.0,0.375
95,2,0.5,0.25
95,3,0.5,0.5
95,4,0.0,0.25
95,5,0.5,0.25
95,6,0.5,0.375
95,7,0.0,0.25
95,8,0.0,0.0
95,9,0.5,0.375
95,10,1.0,0.5
96,1,0.5,0.25
96,2,0.0,0.375
96,3,1.0,0.375
96,4,0.0,0.25
96,5,0.0,0.375
96,6,0.5,0.375
96,7,0.5,0.125
96,8,0.0,0.0
96,9,0.5,0.375
96,10,1.0,0.5
97,1,0.5,0.25
97,2,0.5,0.25
97,3,0.5,0.5
97,4,0.0,0.25
97,5,0.5,0.25
97,6,1.0,0.25
97,7,0.5,0.125
97,8,0.0,0.0
97,9,0.5,0.375
